product_id,product_name,category,price
1,Tempestuous Tech J50,controller,3600.0
2,Havoc Labs Z700,chair,500.0
3,Phantom Strike Audio,headset,750.0
4,FocusZone 34-inch,monitor,4000.0
5,Valhalla Gear Premium 200,desk,5000.0
6,Fractured Focus B50,controller,3800.0
7,Canvas Pro 27-inch,monitor,18500.0
8,Valhalla Gear A7,controller,3600.0
9,Quantum Flux R900,controller,3900.0
10,Hyperweave Tech P70,controller,2000.0
11,Atlas 50G9593,notebook,55000.0
12,Canvas Pro 55-inch,monitor,19500.0
13,Hyperweave Tech Cuddle,chair,2500.0
14,Ragnarok Industries S300,controller,4300.0
15,EyeFeast 49-inch,monitor,12000.0
16,Apex Legion Cuddle 170,desk,8000.0
17,Mnemonic Gear Q40,controller,2400.0
18,Tempestuous Tech Basilisk,mouse,2500.0
19,Quantum Flux TKL,keyboard,8000.0
20,Apex Legion B2,controller,2200.0
21,Apex Gamer 71M6041,notebook,35000.0
22,Hyperweave Tech T1400 160,desk,5500.0
23,Renegade Collective J1,mouse,1000.0
24,LuminaLite 34-inch,monitor,12000.0
25,Muse 68Z1431,notebook,25000.0
26,VividView 22-inch,monitor,14500.0
27,Apex Legion Elit,mouse,4000.0
28,Evo Pro 2Y5427,notebook,95000.0
29,Quantum Flux Cuddle 180,desk,6500.0
30,Ragnarok Industries Throne,chair,8000.0
31,Wraithspire Y800,controller,2600.0
32, NovaSight NS 49-inch,monitor,13000.0
33,Titanforged Echelon,headset,1750.0
34,Titanforged Shadow,mouse,3000.0
35,Wraithspire Z70,controller,1500.0
36,Cybernetic Forge Q400,controller,2800.0
37,Hyperweave Tech Q-Link,headset,4000.0
38,ClarityPrime 43-inch,monitor,15000.0
39, NovaSight NS 32-inch,monitor,13500.0
40,Cybernetic Forge M8,controller,4700.0
41,VoltBook 34K8285,notebook,55000.0
42,Quantum Flux Ghost,keyboard,1500.0
43,SwiftX 1W8580,notebook,75000.0
44,LuminaLite 32-inch,monitor,12500.0
45,Apex Legion CTRL,keyboard,9000.0
46,Phantom Strike Collection 140,desk,500.0
47,Spectral Edge Embrace,chair,4500.0
48,Havoc Labs Collection,chair,1500.0
49,Aeris Lite 57E8755,notebook,30000.0
50,Valhalla Gear Pro,chair,5500.0
51,Havoc Labs F1300,controller,800.0
52,Hyperweave Tech Umbra,headset,3250.0
53,Quantum Flux L20,controller,700.0
54,VividView 34-inch,monitor,4500.0
55,Mnemonic Gear Kinesis,keyboard,4000.0
56,Muse 10S7057,notebook,45000.0
57, NovaSight NS 24-inch,monitor,7500.0
58,LuminaLite 34-inch,monitor,12500.0
59,Renegade Collective Shadow,mouse,2000.0
60,Wraithspire Pro,chair,8000.0
61,Apex Legion Gaming,chair,9500.0
62,Phantom Strike Collective,chair,3500.0
63,Valhalla Gear Viper,mouse,1500.0
64,Mnemonic Gear Elite,keyboard,1000.0
65,Hyperweave Tech Whisper,keyboard,9500.0
66,VoltBook 53X6080,notebook,95000.0
67,Renegade Collective Elite,keyboard,8000.0
68,Havoc Labs Z100,controller,3900.0
69,Hyperweave Tech W60,controller,600.0
70,Cybernetic Forge Embrace 220,desk,8000.0
71,ClarityPrime 34-inch,monitor,10000.0
72,Wraithspire X800,controller,2300.0
73,Apex Legion Nexus,chair,7000.0
74,Quantum Flux Premium,mouse,5500.0
75,VersaFlex 35W3968,notebook,55000.0
76,Phantom Strike Pro,mouse,6500.0
77,VersaFlex 9Z5055,notebook,65000.0
78,Ragnarok Industries S1200 200,desk,1000.0
79,VividView 43-inch,monitor,10500.0
80,Tempestuous Tech Nexus 120,desk,1000.0
81,Ragnarok Industries Audio,headset,2250.0
82,Valhalla Gear Elite 100,desk,1500.0
83, NovaSight NS 43-inch,monitor,13000.0
84,Quantum Flux Economic 240,desk,9500.0
85,Spectral Edge Collective 120,desk,8500.0
86,Apex Legion Audio,headset,750.0
87,FocusZone 55-inch,monitor,7500.0
88,Cybernetic Forge Collection,chair,6500.0
89,Cybernetic Forge Pro,chair,6000.0
90,Quantum Flux Y40,controller,4000.0
91,VividView 49-inch,monitor,17500.0
92,Titanforged Embrace 200,desk,500.0
93,Mnemonic Gear Pro,mouse,4500.0
94,Valhalla Gear A4,mouse,1000.0
95,Spectral Edge Eclipse,keyboard,6000.0
96,Apex Legion E300,chair,7500.0
97,Titanforged Audio,headset,4500.0
98,EyeFeast 49-inch,monitor,7000.0
99,VisuGen VX 34-inch,monitor,16500.0
100,Wraithspire Collective 100,desk,2500.0
101,Valhalla Gear Kinesis,keyboard,7500.0
102,Ragnarok Industries Leviathan,mouse,5000.0
103,Nimbus Touch 15X4517,notebook,125000.0
104,Havoc Labs L200,controller,3200.0
105,SpectraMax Pro 34-inch,monitor,13000.0
106,Titanforged Viper,mouse,2500.0
107,Hyperweave Tech Embrace,chair,6500.0
108,Apex Legion B300,controller,4200.0
109,Phantom Strike Gaming,chair,9500.0
110,Valhalla Gear D1400,chair,4000.0
111,Valhalla Gear Pro 160,desk,3500.0
112,Evo Pro 73L4967,notebook,20000.0
113,Havoc Labs N90,headset,1500.0
114,Valhalla Gear Q-Link,headset,3250.0
115,EyeFeast 43-inch,monitor,10500.0
116,Spectral Edge Embrace 120,desk,500.0
117,Renegade Collective Premium 140,desk,7500.0
118,Quantum Flux Elite,headset,3000.0
119,Quantum Flux Aero,chair,6500.0
120,Wraithspire O6,controller,1800.0
121,Apex Legion N7,chair,7000.0
122,Titanforged Gaming 160,desk,1500.0
123,Canvas Pro 22-inch,monitor,3000.0
124,Havoc Labs Umbra,headset,500.0
125,Evo Pro 62F1693,notebook,35000.0
126,Titanforged W100 160,desk,6000.0
127,Tempestuous Tech Elite,chair,9000.0
128,Ragnarok Industries Kinesis,keyboard,8000.0
129,Havoc Labs Gamming,mouse,4500.0
130,Cybernetic Forge I3,controller,1000.0
131,Apex Legion T6,controller,4400.0
132,VisuGen VX 32-inch,monitor,3500.0
133,Evo Pro 24N2842,notebook,125000.0
134,AeroStream AS 49-inch,monitor,14000.0
135,Hyperweave Tech Ghost,keyboard,3000.0
136,VoltBook 94N9970,notebook,135000.0
137,Zenith Z-Curve 43-inch,monitor,10500.0
138,Titanforged R3,controller,2000.0
139,Hyperweave Tech Elit,mouse,4500.0
140,VividView 24-inch,monitor,16500.0
141,Quantum Flux V1000,controller,3800.0
142,BizLine 43P1191,notebook,70000.0
143,Phantom Strike Prime,chair,8500.0
144,Tempestuous Tech CTRL,keyboard,7500.0
145,Apex Gamer 92B3909,notebook,45000.0
146,NovaFlight 76D6979,notebook,70000.0
147,Phantom Strike Surround,headset,750.0
148,BizLine 27H5133,notebook,30000.0
149,Titanforged Ghost,keyboard,3500.0
150,Nomad Pro 58P8902,notebook,50000.0
151,Fractured Focus Pro,chair,4000.0
152,Cybernetic Forge Collective 180,desk,7500.0
153,VividView 27-inch,monitor,8000.0
154,Tempestuous Tech Collective,chair,6000.0
155,Fractured Focus Collection,chair,5000.0
156,Renegade Collective Premium,mouse,3000.0
157,Quantum Flux Synapse,headset,2750.0
158,Spectral Edge I4,mouse,2000.0
159,Havoc Labs Prime,chair,6500.0
160,Renegade Collective A400,controller,500.0
161,Hyperweave Tech Gaming,chair,5000.0
162,Renegade Collective Shadow,mouse,4500.0
163,Wraithspire Pro 240,desk,4500.0
164,BizLine 94B5093,notebook,40000.0
165,Quantum Flux Pro,mouse,1500.0
166,Apex Gamer 35U9839,notebook,90000.0
167,Cybernetic Forge Gaming 100,desk,2000.0
168,Mnemonic Gear Storm,keyboard,4500.0
169,Cybernetic Forge Premium,mouse,7500.0
